x bio y src known treatment
12.113 1.174 15.466 0 0 A
11.094 2.19 17.069 0 0 A
9.76 0.476 15.005 0 0 A
9.724 1.96 15.402 0 0 A
9.472 2.791 16.577 0 0 A
8.351 1.113 17.01 1 0 A
7.892 0.463 14.152 0 0 A
9.665 0.726 14.191 1 0 A
10.779 1.747 16.481 1 0 A
12.106 2.941 16.641 1 0 A
9.05 2.193 16.635 1 0 A
9.005 0.227 13.357 0 0 A
10.113 1.247 14.713 1 0 A
9.279 2.745 16.798 1 0 A
10.056 1.443 15.498 1 0 A
9.16 2.712 16.517 0 0 A
11.939 3.172 18.662 0 0 A
9.564 1.626 15.199 0 0 A
10.585 3.141 17.074 1 0 A
11.541 3.709 19.285 0 0 A
9.939 1.255 14.019 1 0 A
10.617 0.816 15.953 0 0 A
10.609 2.438 15.944 0 0 A
10.207 2.14 18.023 1 0 A
10.141 0.966 14.232 0 0 A
8.097 -0.676 12.94 1 0 A
9.121 2.177 15.872 0 0 A
8.558 0.871 14.195 0 0 A
9.07 3.072 16.43 0 0 A
10.8 4.919 20.339 0 0 A
11.116 4.615 18.546 0 0 A
8.275 0.241 14.927 1 0 A
10.254 2.739 18.206 1 0 A
9.094 1.806 15.848 0 0 A
11.874 3.38 18.098 0 0 A
9.786 1.586 16.875 1 0 A
9.603 1.223 15.843 1 0 A
9.464 1.501 16.356 1 0 A
9.093 1.158 14.674 1 0 A
12.984 5 19.741 0 0 A
10.921 2.571 17.733 1 0 A
9.296 0.545 15.233 1 0 A
10.911 3.138 18.198 0 0 A
9.58 0.98 15.405 0 0 A
11.49 2.38 18.568 1 0 A
11.299 3.139 17.91 0 0 A
9.125 1.589 15.859 0 0 A
7.025 -2.029 13.246 1 0 A
9.675 1.797 16.789 1 0 A
9.363 2.84 17.824 1 0 A
8.619 -0.544 14.418 1 0 A
8.241 0.909 15.649 1 0 A
9.82 1.999 16.403 0 0 A
9.424 1.146 15.67 0 0 A
9.225 2.6 17.609 1 0 A
10.842 3.309 17.625 0 0 A
10.619 1.617 16.222 0 0 A
8.027 -1.021 14.033 1 0 A
10.322 3.22 18.833 1 0 A
9.476 0.949 14.374 1 0 A
11.215 2.968 17.752 0 0 A
10.29 1.884 16.337 0 0 A
10.384 2.07 16.152 0 0 A
8.788 0.377 13.774 0 0 A
9.296 0.392 15.682 1 0 A
9.885 1.501 14.958 0 0 A
8.916 1.253 14.808 1 0 A
8.397 -0.643 14.546 1 0 A
10.242 1.121 14.908 0 0 A
11.485 3.739 18.207 1 0 A
8.595 0.637 14.291 1 0 A
10.659 2.558 17.259 1 0 A
7.324 -1.03 13.188 1 0 A
10.437 3.326 18.923 0 0 A
9.308 1.916 17.267 1 0 A
13.03 3.452 18.629 0 0 A
8.253 0.043 14.448 1 0 A
10.181 2.249 15.807 1 0 A
12.577 0.987 15.785 1 0 A
10.605 1.833 16.314 0 0 A
10.779 2.322 16.182 1 0 A
9.781 -0.422 13.546 0 0 A
8.306 -0.184 12.935 1 0 A
10.814 3.772 18.914 0 0 A
9.033 2.004 15.774 1 0 A
10.366 1.196 14.791 0 0 A
10.974 1.103 16.429 1 0 A
10.986 1.573 15.683 1 0 A
11.028 1.504 17.322 1 0 A
8.269 0.051 15.517 1 0 A
11.182 3.079 17.305 1 0 A
9.452 1.551 16.557 1 0 A
9.031 2.97 16.618 0 0 A
11.403 3.81 18.538 0 0 A
12.026 3.029 17.833 0 0 A
11.751 3.654 18.072 0 0 A
11.058 1.307 16.255 0 0 A
10.48 2.721 16.782 0 0 A
8.045 0.045 12.33 1 0 A
6.424 -0.314 12.493 0 0 A
10.389 2.525 16.422 0 0 A
9.242 1.439 16.1 0 0 A
10.236 1.27 15.447 1 0 A
10.304 2.88 17.328 1 0 A
8.57 0.826 16.031 1 0 A
7.913 2.561 15.801 0 0 A
11.853 4.528 19.911 0 0 A
10.146 0.67 16.385 1 0 A
11.805 4.575 19.826 0 0 A
9.581 2.587 16.498 0 0 A
7.943 -0.446 14.468 1 0 A
9.679 2.206 16.467 1 0 A
8.836 -0.26 13.586 0 0 A
9.705 0.742 13.766 0 0 A
7.848 -2.658 9.982 1 0 A
8.114 0.38 14.418 1 0 A
9.965 2.424 16.776 1 0 A
11.758 2.907 19.276 1 0 A
8.728 0.214 13.755 0 0 A
7.119 -0.239 12.988 1 0 A
11.196 3.529 18.019 0 0 A
9.501 2.19 16.853 0 0 A
9.093 2.488 17.694 0 0 A
8.699 1.644 16.418 1 0 A
13.06 3.212 17.362 1 0 A
12.606 4.74 19.106 0 0 A
9.627 2.408 16.487 0 0 A
10.142 1.958 16.085 0 0 A
9.061 0.93 17.006 1 0 A
10.271 1.707 16.401 1 0 A
11.991 3.513 17.87 1 0 A
9.449 2.14 15.699 0 0 A
11.489 1.414 15.925 0 0 A
10.953 1.606 16.55 0 0 A
9.429 2.47 18.314 1 0 A
11.571 1.682 15.531 1 0 A
10.947 1.411 14.553 0 0 A
11.387 2.266 16.74 1 0 A
10.221 2.197 16.57 0 0 A
11.054 2.925 18.283 1 0 A
11.627 2.792 16.926 0 0 A
11.112 2.622 17.002 0 0 A
12.07 2.839 16.411 0 0 A
11.847 3.236 18.02 1 0 A
10.12 1.498 15.245 1 0 A
9.924 2.297 16.732 0 0 A
10.461 2.694 16.815 1 0 A
12.764 3.336 19.805 1 0 A
8.712 0.9 13.965 0 0 A
10.384 3.566 19.164 0 0 A
9.074 1.316 15.481 1 0 A
8.979 1.806 15.216 0 0 A
9.931 2.492 16.331 1 0 A
10.576 1.996 16.524 0 0 A
10.224 1.446 15.882 1 0 A
8.764 1.363 15.226 0 0 A
9.212 1.343 14.188 0 0 A
10.573 1.604 15.588 0 0 A
9.368 3.307 17.116 0 0 A
11.58 3.407 17.97 1 0 A
10.302 2.654 17.375 0 0 A
9.756 0.478 14.121 0 0 A
9.748 4.208 18.03 0 0 A
9.652 2.136 16.21 1 0 A
8.017 -0.006 13.688 0 0 A
12.055 2.115 18.013 0 0 A
8.246 0.561 13.661 0 0 A
9.29 2.419 16.839 1 0 A
10.594 3.229 17.947 0 0 A
7.871 -1.676 10.535 1 0 A
9.508 2.502 16.739 1 0 A
9.357 1.886 16.056 0 0 A
9.389 -0.662 12.944 1 0 A
9.331 0.533 15.25 1 0 A
10.612 2.979 17.15 1 0 A
9.109 1.313 15.398 1 0 A
9.837 1.784 15.685 0 0 A
8.504 2.201 17.192 0 0 A
9.184 -0.272 14.778 1 0 A
7.704 1.959 16.104 1 0 A
11.597 2.168 16.006 1 0 A
7.658 -0.374 12.947 0 0 A
9.346 2.321 16.035 0 0 A
9.818 2.091 16.507 0 0 A
8.972 1.12 13.725 0 0 A
11.967 4.71 19.16 0 0 A
10.221 -0.06 14.24 1 0 A
9.569 1.208 14.781 0 0 A
11.787 2.662 17.11 0 0 A
10.531 1.511 16.374 1 0 A
12.779 2.856 17.451 0 0 A
9.534 1.774 15.984 0 0 A
9.731 0.388 15.191 0 0 A
9.548 1.678 17.27 1 0 A
8.48 1.64 15.035 1 0 A
9.288 -1.218 13.002 1 0 A
11.442 2.943 16.99 0 0 A
10.712 0.316 14.13 0 0 A
8.921 1.47 16.217 0 0 A
10.536 4.245 19.749 1 0 A
8.096 -0.653 12.502 0 0 A
9.56 2.722 16.104 0 0 A
12.239 2.161 16.378 0 0 A
10.348 3.27 17.328 0 0 A
11.008 -0.025 15.048 0 0 A
10.312 3.432 17.959 1 0 A
9.669 -0.469 13.045 0 0 A
9.234 0.309 15.091 1 0 A
8.081 0.26 14.355 1 0 A
9.528 1.343 16.103 1 0 A
11.629 2.83 17.98 0 0 A
11.292 1.796 15.732 0 0 A
9.766 2.32 16.186 1 0 A
10.215 2.064 16.897 1 0 A
7.76 1.101 13.909 0 0 A
9.964 1.639 15.214 0 0 A
10.009 1.292 14.215 1 0 A
10.198 3.638 18.251 0 0 A
8.125 0.741 14.485 0 0 A
12.083 3.937 18.093 1 0 A
10.902 2.565 17.038 0 0 A
9.816 3.088 17.214 0 0 A
9.975 2.534 16.781 1 0 A
9.053 1.977 16.029 0 0 A
9.772 -0.061 13.293 0 0 A
11.591 3.197 18.319 0 0 A
11.414 2.145 16.692 0 0 A
11.923 1.906 15.839 1 0 A
10.353 2.989 17.673 0 0 A
9.094 3.013 17.351 1 0 A
9.211 0.978 14.439 0 0 A
9.809 0.2 14.197 0 0 A
7.942 0.143 13.452 1 0 A
9.409 2.072 16.687 1 0 A
10.187 3.243 17.521 0 0 A
8.823 1.482 15.201 0 0 A
9.327 1.288 15.768 0 0 A
9.729 0.88 14.799 0 0 A
10.871 3.068 17.689 0 0 A
9.605 1.798 15.261 0 0 A
9.041 0.101 12.764 0 0 A
10.558 1.041 15.273 1 0 A
7.68 2.204 14.876 0 0 A
7.93 2.485 18.506 1 0 A
9.968 1.07 15.513 0 0 A
11.511 2.282 17.959 1 0 A
8.818 1.923 15.603 1 0 A
10.136 1.971 15.562 0 0 A
8.968 2.839 16.711 0 0 A
12.374 3.873 18.949 0 0 A
10.631 2.159 17.136 1 0 A
7.021 -1.31 12.828 1 0 A
10.464 1.566 16.571 1 0 A
8.653 0.782 14.41 0 0 A
9.371 0.635 15.23 1 0 A
8.982 1.557 15.178 0 0 A
11.308 2.67 17.685 1 0 A
11.574 3.225 18.414 0 0 A
11.249 0.921 16.912 1 0 A
8.678 0.68 15.06 1 0 A
9.893 2.287 17.447 0 0 A
11.895 2.547 16.397 1 0 A
9.654 1.263 15.314 0 0 A
10.014 2.531 17.004 1 0 A
10.868 0.52 14.985 1 0 A
10.095 3.324 18.198 1 0 A
10.062 0.815 14.407 1 0 A
8.911 1.616 15.496 1 0 A
10.604 2.65 17.221 0 0 A
8.394 1.244 15.49 1 0 A
10.452 3.289 17.813 0 0 A
11.395 3.231 18.018 1 0 A
9.139 2.014 16.782 1 0 A
9.928 0.777 13.993 0 0 A
9.008 1.011 16.548 1 0 A
6.461 0.587 13.937 1 0 A
8.61 1.267 14.15 0 0 A
10.335 1.262 14.89 1 0 A
11.341 2.317 15.807 1 0 A
8.864 0.617 14.927 1 0 A
9.847 0.296 13.932 1 0 A
11.385 3.139 17.377 0 0 A
6.933 -0.17 14.017 1 0 A
12.301 5.311 20.07 1 0 A
9.819 1.677 16.778 0 0 A
9.422 2.998 16.988 0 0 A
9.656 1.285 16.481 1 0 A
10.915 2.373 16.635 0 0 A
9.756 1.357 16.748 1 0 A
8.618 2.623 16.432 0 0 A
7.807 0.185 13.923 1 0 A
11.39 2.874 16.596 1 0 A
11.248 2.455 15.123 0 0 A
11.46 1.596 16.721 1 0 A
6.925 0.371 13.645 1 0 A
10.794 2.448 16.797 1 0 A
12.294 3.487 17.607 0 0 A
9.996 1.169 14.591 1 0 A
9.009 0.729 15.329 1 0 A
10.919 3.699 18.69 1 0 A
9.555 1.172 15.531 0 0 A
12.512 4.124 17.837 0 0 A
9.58 1.346 16.305 1 0 A
8.967 2.338 17.379 1 0 A
8.054 -1.118 12.814 1 0 A
8.539 0.043 14.889 1 0 A
10.447 2.154 15.569 0 0 A
9.834 4.218 19.31 0 0 A
11.408 4.441 19.96 0 0 A
9.498 -0.537 13.08 0 0 A
11.538 2.425 15.989 0 0 A
9.064 1.678 15.932 1 0 A
7.827 -0.06 13.831 0 0 A
10.09 2.481 17.029 0 0 A
10.295 0.387 13.954 1 0 A
8.725 1.744 15.031 0 0 A
12.235 4.298 18.502 0 0 A
12.348 3.882 19.305 0 0 A
9.181 0.928 14.615 1 0 A
9.99 3.227 18.211 1 0 A
10.441 1.568 15.13 1 0 A
8.762 1.526 15.436 0 0 A
10.818 1.898 16.347 0 0 A
9.395 1.782 15.348 1 0 A
10.982 2.517 16.798 1 0 A
9.618 1.776 16.143 0 0 A
9.983 4.53 19.835 1 0 A
9.823 1.426 15.501 0 0 A
8.888 -0.077 13.991 0 0 A
9.677 0.917 14.507 0 0 A
9.567 0.182 14.078 0 0 A
7.511 -1.51 13.026 1 0 A
8.919 1.684 16.429 0 0 A
10.471 0.998 14.596 0 0 A
7.801 -0.11 15.205 1 0 A
8.507 2.03 16.509 1 0 A
10.573 1.454 15.089 0 0 A
11.069 2.374 16.452 0 0 A
10.268 2.418 16.69 1 0 A
8.852 -0.068 13.388 1 0 A
10.535 3.043 17.105 0 0 A
11.848 2.572 15.907 0 0 A
10.247 2.715 17.211 1 0 A
10.471 1.75 17.102 1 0 A
12.701 5.255 20.137 0 0 A
11.665 2.344 17.008 1 0 A
11.431 4.043 18.622 0 0 A
12.499 2.859 17.332 0 0 A
9.709 1.499 14.554 1 0 A
9.468 1.822 15.57 0 0 A
10.238 1.033 14.487 0 0 A
9.05 0.974 14.029 1 0 A
9.836 0.718 15.661 1 0 A
10.902 3.655 18.296 0 0 A
10.074 1.912 16.308 1 0 A
12.785 4.257 19.759 0 0 A
7.258 0.787 14.294 1 0 A
7.994 0.998 15.281 1 0 A
10.793 2.873 18.019 1 0 A
10.438 3.028 17.214 0 0 A
12.864 2.615 17.79 0 0 A
8.432 1.253 14.83 0 0 A
8.219 1.156 14.697 1 0 A
8.645 1.1 14.929 0 0 A
10.529 3.049 17.952 0 0 A
7.541 0.171 13.703 0 0 A
8.367 -0.431 12.157 0 0 A
10.601 1.649 16.082 0 0 A
9.524 2.034 16.534 0 0 A
12.634 3.81 18.681 0 0 A
11.34 0.596 14.714 0 0 A
8.48 1.249 15.223 1 0 A
9.157 2.173 15.053 1 0 A
10.942 2.494 16.185 0 0 A
11.529 0.552 14.361 0 0 A
9.729 -0.09 14.182 0 0 A
10.642 2.493 16.643 1 0 A
9.365 -0.464 12.458 1 0 A
10.134 0.756 14.429 0 0 A
11.844 2.683 17.303 0 0 A
8.372 0.371 13.918 0 0 A
10.894 3.458 18.168 1 0 A
8.821 1.784 16.45 1 0 A
10.821 1.273 14.744 1 0 A
10.424 2.687 17.775 1 0 A
9.985 3.256 17.706 0 0 A
5.392 -0.825 11.97 0 0 A
10.795 1.836 17.311 1 0 A
9.599 1.087 14.3 0 0 A
10.439 1.673 15.878 0 0 A
12.689 3.361 18.951 1 0 A
9.49 2.763 17.357 1 0 A
11.238 1.549 15.413 0 0 A
9.035 0.296 13.586 0 0 A
9.007 0.301 14.435 0 0 A
11.231 2.656 18.507 1 0 A
10.518 1.147 13.942 0 0 A
10.054 1.235 16.009 1 0 A
9.861 2.452 16.803 0 0 A
9.366 0.756 14.032 0 0 A
10.898 2.92 17.949 1 0 A
10.724 1.756 17.083 1 0 A
10.607 1.621 16.053 0 0 A
9.254 -0.744 13.996 1 0 A
9.554 3.143 16.952 1 0 A
10.185 0.786 14.305 0 0 A
9.875 3.667 16.918 1 0 A
11.062 3.816 18.869 0 0 A
12.618 4.828 19.572 1 0 A
9.087 1.426 16.006 1 0 A
10.103 1.019 15.574 0 0 A
8.091 -0.635 13.888 1 0 A
11.527 2.682 17.402 1 0 A
7.601 0.036 13.233 0 0 A
9.798 0.574 16.013 1 0 A
12.202 2.094 17.314 1 0 A
13.27 4.294 19.471 0 0 A
8.877 2.533 17.632 0 0 A
8.829 0.5 14.43 0 0 A
12.406 3.639 18.73 1 0 A
9.121 2.613 17.291 1 0 B
7.219 0.863 15.261 1 0 B
11.834 3.048 19.328 1 0 B
12.065 4.148 19.644 1 0 B
11.701 4.414 20.824 1 0 B
12.068 4.001 19.991 1 0 B
10.224 2.526 18.135 1 0 B
8.679 2.568 17.678 1 0 B
9.972 1.685 16.995 1 0 B
9.608 2.002 17.752 1 0 B
9.689 -0.009 15.328 1 0 B
8.411 0.738 16.533 1 0 B
11.728 4.871 21.697 1 0 B
10.106 2.426 17.909 1 0 B
7.584 1.646 15.819 1 0 B
9.197 2.053 17.624 1 0 B
9.148 1.459 15.776 1 0 B
9.454 1.836 16.188 1 0 B
8.455 2.381 17.558 1 0 B
9.608 0.369 16.418 1 0 B
12.951 4.069 19.218 1 0 B
9.55 3.892 19.205 1 0 B
10.006 0.873 15.733 1 0 B
10.787 1.601 17.176 1 0 B
10.558 1.263 16.671 1 0 B
9.44 1.72 17.785 1 0 B
8.785 0.479 14.395 1 0 B
9.776 3.75 18.957 1 0 B
9.581 2.78 18.262 1 0 B
8.641 1.621 16.048 1 0 B
9.255 2.211 17.685 1 0 B
8.707 2.669 17.872 1 0 B
11.706 2.352 18.037 1 0 B
9.511 0.839 16.604 1 0 B
10.442 2.574 19.001 1 0 B
9.574 3.08 19.993 1 0 B
7.277 0.831 15.391 1 0 B
9.554 3.102 18.846 1 0 B
5.935 0.282 15.032 1 0 B
10.908 1.564 16.798 1 0 B
6.854 1.193 15.362 1 0 B
7.953 2.767 17.886 1 0 B
10.476 4.262 19.874 1 0 B
10.405 2.644 17.549 1 0 B
7.917 2.429 16.875 1 0 B
10.951 5.036 20.415 1 0 B
7.938 0.934 16.267 1 0 B
9.399 1.979 16.949 1 0 B
9.068 1.748 16.642 1 0 B
11.076 3.816 19.778 1 0 B
6.978 2.231 17.171 1 0 B
7.821 0.724 15.503 1 0 B
10.663 2.551 18.996 1 0 B
9.826 2.881 18.426 1 0 B
9.031 0.598 15.373 1 0 B
9.64 1.374 16.184 1 0 B
9.357 2.238 17.614 1 0 B
9.92 2.515 18.08 1 0 B
10.798 1.507 16.906 1 0 B
10.129 1.119 15.893 1 0 B
7.696 0.784 14.86 1 0 B
8.96 1.26 16.136 1 0 B
11.454 2.326 17.894 1 0 B
8.062 1.97 17.138 1 0 B
10.634 3.271 18.958 1 0 B
10.598 2.01 16.977 1 0 B
11.089 2.272 17.77 1 0 B
10.272 3.183 18.534 1 0 B
8.337 0.928 15.265 1 0 B
10.688 1.203 17.596 1 0 B
10.931 2.23 18.68 1 0 B
8.721 2.245 16.827 1 0 B
11.013 4.58 20.434 1 0 B
9.948 2.964 18.191 1 0 B
9.515 1.539 17.336 1 0 B
11.782 1.447 17.133 1 0 B
8.558 1.344 16.752 1 0 B
11.631 3.301 19.223 1 0 B
9.623 1.968 16.584 1 0 B
6.659 2.298 16.761 1 0 B
9.453 2.939 19.258 1 0 B
11.211 2.538 18.152 1 0 B
10.075 3.588 19.182 1 0 B
10.908 2.838 19.597 1 0 B
11.965 5.109 22.254 1 0 B
10.626 2.799 18.375 1 0 B
10.72 1.939 17.969 1 0 B
9.913 2.578 17.665 1 0 B
9.186 1.979 18.337 1 0 B
10.122 1.952 18.131 1 0 B
9.042 4.012 19.713 1 0 B
10.891 1.693 16.98 1 0 B
10.016 3.177 19.142 1 0 B
8.615 1.369 16.348 1 0 B
8.718 0.735 15.898 1 0 B
11.598 3.588 18.429 1 0 B
12.565 2.748 19.039 1 0 B
7.742 -0.103 14.557 1 0 B
10.251 3.472 19.734 1 0 B
8.746 2.286 18.461 1 0 B
8.689 2.202 17.42 1 0 B
11.552 3.186 19.105 1 0 B
11.203 3.318 18.481 1 0 B
9.545 2.526 18.051 1 0 B
12.079 2.064 17.285 1 0 B
9.107 -0.84 14.386 1 0 B
10.765 3.238 19.349 1 0 B
10.552 1.63 17.423 1 0 B
9.797 4.488 20.818 1 0 B
9.43 2.691 17.936 1 0 B
8.885 2.902 18.852 1 0 B
9.844 2.192 18.478 1 0 B
7.672 -0.142 15.171 1 0 B
10.738 3.691 19.418 1 0 B
11.332 1.997 16.86 1 0 B
8.124 1.522 16.178 1 0 B
7.982 1.721 17.253 1 0 B
11.56 3.47 19.592 1 0 B
10.079 2.182 18.211 1 0 B
9.367 0.756 16.639 1 0 B
8.728 3.603 18.557 1 0 B
8.984 1.187 17.002 1 0 B
9.588 1.844 18.11 1 0 B
9.639 1.625 16.726 1 0 B
9.401 2.161 16.787 1 0 B
9.227 0.286 15.723 1 0 B
12.574 3.612 19.755 1 0 B
9.626 1.382 16.741 1 0 B
9.396 1.78 16.675 1 0 B
10.263 3.108 19.908 1 0 B
8.703 1.244 16.392 1 0 B
8.95 2.368 17.266 1 0 B
9.354 1.544 17.52 1 0 B
9.949 1.845 18.458 1 0 B
10.368 2.913 18.428 1 0 B
9.897 3.06 19.024 1 0 B
10.749 1.891 17.22 1 0 B
10.884 2.66 18.084 1 0 B
10.326 1.433 16.459 1 0 B
8.226 0.446 15.497 1 0 B
7.243 -0.276 14.635 1 0 B
11.252 3.637 19.87 1 0 B
8.107 -0.091 15.384 1 0 B
9.354 3.947 19.703 1 0 B
11.122 3.455 19.47 1 0 B
9.859 3.297 19.105 1 0 B
12.556 3.57 19.413 1 0 B
11.198 2.969 18.741 1 0 B
9.587 1.806 18.05 1 0 B
9.782 3.564 18.905 1 0 B
10.678 4.126 20.785 1 0 B
11.622 2.495 18.378 1 0 B
11.834 2.649 18.044 1 0 B
8.968 1.816 17.058 1 0 B
11.638 2.785 17.682 1 0 B
11.226 4.467 20.651 1 0 B
11.116 2.913 18.933 1 0 B
11 2.386 18.385 1 0 B
10.224 4.941 21.387 1 0 B
9.192 0.987 17.842 1 0 B
8.604 1.971 17.314 1 0 B
11.835 4.09 21.041 1 0 B
10.353 3.971 20.298 1 0 B
9.415 3.324 19.149 1 0 B
8.889 2.216 17.228 1 0 B
10.967 2.379 17.26 1 0 B
8.349 -0.04 15.137 1 0 B
9.978 1.991 18.245 1 0 B
11.176 3.298 19.132 1 0 B
10.184 2.174 17.381 1 0 B
9.674 3.404 18.507 1 0 B
8.653 2.675 18.233 1 0 B
9.311 2.385 17.626 1 0 B
7.356 1.681 15.508 1 0 B
9.714 2.103 17.521 1 0 B
11.162 4.456 20.708 1 0 B
9.351 1.481 16.876 1 0 B
9.243 2.52 17.427 1 0 B
10.651 3.383 19.776 1 0 B
8.588 -0.008 14.352 1 0 B
10.412 3.465 18.452 1 0 B
10.223 1.853 17.238 1 0 B
11.387 4.468 21.598 1 0 B
10.737 2.073 17.523 1 0 B
8.199 0.013 14.048 1 0 B
8.687 2.682 17.606 1 0 B
10.409 1.679 17.059 1 0 B
9.587 1.805 16.994 1 0 B
11.583 4.282 20.601 1 0 B
9.058 2.177 17.775 1 0 B
10.05 1.528 17.173 1 0 B
7.969 0.513 15.83 1 0 B
9.64 1.801 18.624 1 0 B
11.2 3.372 19.949 1 0 B
9.955 3.629 20.081 1 0 B
9.143 2.7 17.663 1 0 B
10.318 2.466 18.247 1 0 B
12.132 3.466 19.544 1 0 B
11.268 3.838 18.849 1 0 B
12.021 2.689 17.749 1 0 B
10.504 3.523 20.468 1 0 B
8.345 0.529 15.544 1 0 B
9.97 1.934 17.078 1 0 B
10.746 3.531 19.108 1 0 B
8.745 1.469 15.811 1 0 B
9.77 1.867 16.576 1 0 B
10.423 1.852 17.967 1 0 B
10.56 3.3 17.999 1 0 B
11.465 4.017 20.225 1 0 B
8.885 2.013 16.986 1 0 B
12.909 4.216 20.347 1 0 B
8.384 2.479 17.189 1 0 B
10.833 3.209 19.911 1 0 B
7.879 0.529 15.3 1 0 B
10.827 2.832 19.552 1 0 B
10.423 2.489 17.598 1 0 B
10.588 2.261 17.055 1 0 B
11.163 1.556 17.627 1 0 B
13.943 5.861 23.197 1 0 B
11.325 4.536 19.31 1 0 B
9.113 2.505 18.929 1 0 B
7.635 0.777 16.317 1 0 B
10.825 1.722 17.076 1 0 B
